Date	RMRFEU	SMBEU	HMLEU	WMLEU	RMRFNA	SMBNA	HMLNA	WMLNA	RMRFJAP	SMBJAP	HMLJAP	WMLJAP
01.02.2002	0.41	-0.35	1.74	5.94	-2.23	-2.28	5.03	6.31	5.08	0.43	3.07	-3.55
01.03.2002	5.08	-0.41	0.74	-2.54	4.26	3.59	1.03	-1.14	5.63	0.43	-5.59	-9.85
01.04.2002	-0.32	2.92	4.76	6	-5.22	3.87	7.51	7.44	5.21	1.27	-1.26	0.55
01.05.2002	0.43	1.73	4.7	4.84	-1.15	-3.2	2.9	3.47	7.1	1.55	2.74	-4.16
01.06.2002	-2.48	1.12	2.42	8.09	-7.31	1.56	2.35	6.77	-4.79	1.58	1.61	4.33
01.07.2002	-10.59	1.76	3.15	4.71	-8.36	-5.13	-3.25	3.18	-6.04	3.62	3.19	1.32
01.08.2002	0.14	-2.24	2.11	2.17	0.59	-1	1.3	2.15	-1.42	-1.32	1.8	0.45
01.09.2002	-13.17	3	-1.9	13.65	-10.12	2.78	0.74	9.35	-4.94	-0.06	3.97	-1.08
01.10.2002	8.58	-6.73	-0.84	-6.13	7.55	-2.33	-6.37	-5.82	-6.77	-2.72	1.26	4.61
01.11.2002	4.89	-0.78	2.16	-8.86	5.89	2.83	-1.37	-15.52	3.03	-6.02	-0.9	-0.06
01.12.2002	-2.76	3.57	3.24	10.97	-5.48	-0.41	4.3	9.66	-2.42	2.22	1.23	4.16
01.01.2003	-3.45	2.08	2.52	2.04	-2.47	1.07	-0.44	1.68	-3.41	3.85	1.68	0.06
01.02.2003	-3.35	0.33	1.66	6.2	-1.69	-0.92	0.07	1.96	1.46	2.06	5.83	0.86
01.03.2003	-1.49	0.82	-0.51	2.23	0.83	0.4	-1.92	0.82	-2.93	3.14	1.83	2.36
01.04.2003	13.12	-2.1	0.24	-14.47	8.13	1.27	-0.27	-8.71	1.09	3.49	0.14	2.85
01.05.2003	7.67	2.71	1.13	-2.39	6.32	4.52	0.6	-6.83	4.53	2.09	-2.19	-5.8
01.06.2003	1.17	2	0.41	-4.68	1.51	1.23	0.07	-0.75	7.12	0.19	1.94	-9.52
01.07.2003	1.71	0.9	3.88	-4.59	2.15	4.42	-0.99	-0.58	3.47	-1.06	-0.56	-2.5
01.08.2003	0.19	3.11	0.01	-2.35	2.5	2.62	1.39	0.45	9.79	-1.53	2.43	-1.14
01.09.2003	2.8	2.71	0.07	0.94	-1.07	0.36	0.07	-0.18	7.48	3.03	-1.68	-1.36
01.10.2003	6.2	-1.2	3.66	5.59	6.04	2.31	3.26	4.56	4.16	4.46	-2.84	2.55
01.11.2003	4.49	0	0.41	-0.09	1.48	2.21	0.84	1.67	-3.87	-3.23	-0.2	-5.68
01.12.2003	7.32	-2.01	0.49	-0.69	4.52	-2.7	1.74	-4.86	6.47	-1.95	2.79	2.35
01.01.2004	2.47	3.68	2.39	3.69	2.09	1.74	1.34	2.39	1.98	4.81	0.24	2.97
01.02.2004	3.1	1.06	0.37	0.43	1.51	-0.6	0.9	-0.62	-0.08	-0.87	2.31	-1.25
01.03.2004	-3.32	0.88	-0.25	-2.39	-1.18	2.22	0.4	0.26	15.03	7.4	3.52	11.03
01.04.2004	-1.23	-0.96	0.86	-1.77	-2.19	-1.84	-2.83	-5.28	-4.54	7.96	-3.81	3.51
01.05.2004	1.42	-0.99	-0.84	-0.19	1.26	-0.2	0.52	1.89	-3.35	-3.37	0.25	-5.69
01.06.2004	1.99	1.09	0.98	2.08	2.04	1.54	1.3	2	5.39	5.92	-1.14	2.84
01.07.2004	-3.12	0.08	0.45	0.36	-3.81	-3.56	3.99	-2	-6.78	-1.31	4.65	-5.22
01.08.2004	0.37	-0.46	1.32	1.26	0.04	-1.43	1.48	-1.31	0.99	0.32	-1.11	2.55
01.09.2004	4.01	0.22	0.74	2.39	2.08	3.91	0.02	5.21	-3.18	-1.44	3.18	-2.71
01.10.2004	4.06	0.04	0.69	0	1.66	0.53	0.06	-0.95	2.38	-0.29	0.41	-1.09
01.11.2004	6.86	2.09	1.73	0.89	4.63	4.13	1.14	3.3	3.81	-0.72	-0.4	-0.41
01.12.2004	4.25	0.37	0.72	0.87	3.31	-0.25	-0.24	-2.45	5.03	-1.14	0.91	0.99
01.01.2005	-1.25	3.56	1.57	0.87	-2.66	-1.31	1.79	3.23	-1.2	6.49	0.54	2.57
01.02.2005	4.59	0.77	1.04	1.58	2.19	-0.13	1.76	3.75	1.71	1.59	2.28	0.53
01.03.2005	-2.57	-0.17	0.24	0.31	-1.69	-1.6	1.58	0.96	-1.51	1.38	3.44	0.06
01.04.2005	-2.59	0.54	-0.11	0.87	-2.88	-4.04	-0.21	-0.96	-2.17	2.6	0.47	1.38
01.05.2005	-0.03	-1.66	1.18	1.62	3.49	2.49	-0.87	0.25	-2.61	-2.09	0.24	-0.45
01.06.2005	1.53	0.95	1.64	3.27	0.92	2.82	2.49	2.83	0.73	1.94	-0.35	0.2
01.07.2005	3.82	0.34	1.34	1.14	4.03	2.7	-1.35	0.75	0.66	1.58	-1.04	1.92
01.08.2005	2.02	2.13	-0.11	2.68	-0.71	-0.41	1.5	3.56	6.67	-3.75	-0.7	1.35
01.09.2005	1.48	-0.35	0.12	2.93	0.91	0.09	1.39	3.88	7.93	-6.44	3.15	2.19
01.10.2005	-3.41	-1.19	0.41	-1.75	-2.52	-1.94	-0.41	-2.59	-0.35	2.2	1.15	3.42
01.11.2005	1.29	-0.29	0.56	1.36	3.88	1.23	-0.79	0.75	2.93	0.02	-2.15	0.84
01.12.2005	3.8	0.61	0.44	1.49	0.14	0.27	0.24	1.57	9.45	4.7	-6.14	4.68
01.01.2006	6.38	2.24	1.74	4.23	3.48	5.81	0.32	4.73	3.54	-0.25	2.44	-0.49
01.02.2006	0.55	2.1	1.45	0.75	-0.54	-0.55	0.71	-2.79	-2.58	-5.04	3.74	-3.17
01.03.2006	3.99	0.74	1.71	2.28	1.39	2.88	0.09	1.75	2.67	0.36	-1.09	1.21
01.04.2006	5.25	1.83	-0.32	2.95	1.15	-0.18	2.61	1.63	2.09	-1.23	1.39	-0.84
01.05.2006	-3.64	-0.95	-0.55	-2.86	-3.37	-2.72	2.39	-2.73	-7.4	-2.84	2.7	-4.7
01.06.2006	-0.21	-1.61	-0.51	-1.22	-0.55	-0.86	0.69	0.28	-1.77	-1.58	-0.47	0.6
01.07.2006	1.01	-1.8	1.61	0.11	-0.74	-3.11	2.68	-1.2	-2.2	-5.96	5.26	0.6
01.08.2006	2.7	-0.27	0.39	-0.16	2.12	0.58	-1.02	-3.26	1.31	0.72	-1.77	-0.82
01.09.2006	0.69	0.08	0.32	1.21	1.33	-2.37	0.78	-1.7	-2.07	-1.39	0.53	0.18
01.10.2006	3.82	0.09	1.5	0.61	3.27	2.34	-0.99	0.06	1.25	-2.35	-1.1	0.45
01.11.2006	3.76	2.58	0.34	1.71	1.74	-0.08	0.14	-0.5	-0.45	-1.97	2.15	1.15
01.12.2006	3.32	0.97	0.55	2.82	0.65	-0.81	2.44	0.55	1.42	-1.99	1.22	3.65
01.01.2007	0.61	1.88	0.77	0.93	1.23	-0.07	-0.68	0.7	0.4	0.49	0.22	-1.98
01.02.2007	-0.51	1.23	-0.09	1.24	-1.75	1.56	0.33	-0.76	3.46	-1.2	2.75	0.09
01.03.2007	3.71	0.68	0.04	1.98	0.9	-0.03	0.29	2.13	-1.7	0.14	2.67	1.59
01.04.2007	5.54	-0.26	1.26	0.54	3.86	-1.39	-1.18	0.49	-2.75	-1.53	2.47	4.75
01.05.2007	1.56	-0.72	0.56	1.21	3.68	-0.12	0.46	-0.18	0.37	-3.66	0.16	0.06
01.06.2007	-0.16	-0.66	0.4	-0.56	-1.74	0.59	-0.66	0.35	-0.32	2.96	-0.66	2.06
01.07.2007	-2.22	1.81	-0.36	1.67	-3.43	-2.47	-2.8	2.71	-0.42	0.6	0.44	2.87
01.08.2007	-2.08	-3.16	-0.06	-0.14	0.68	-1.01	-1.36	-0.06	-3.8	-3.35	1.47	1.72
01.09.2007	4.82	-3.72	-0.85	3.44	3.82	-1.13	-2.24	5.13	1.41	-2.74	0.06	6.23
01.10.2007	4.34	0.42	-0.92	3.93	2.33	1.01	-4.16	5.53	0.07	3.53	-5.29	-4.26
01.11.2007	-4.03	-4.77	-1.76	1.88	-5.45	-3.82	-0.98	-0.8	-2.29	-1.51	0.24	-3.16
01.12.2007	-2.1	-0.86	1.22	2.11	-0.56	0.64	-0.79	5.24	-3.99	-2.13	2.16	-0.32
01.01.2008	-10.01	0.38	-0.01	0.44	-6.38	-1.57	5.15	-8.47	-4.9	-0.86	3.85	-1.82
