Date	ABB	Actelion	Adecco	Alusuisse	Baloise	Ciba_SC	Ciba_Geigy_I	Ciba_Geigy_PS	Clariant	Compagnie_Financiere_Richemont	Credit_Suisse_Group	Credit_Suisse_Holding	Elektrowatt	EMS_Chemie_Holding	Geberit	Georg_Fischer	Givaudan	Holcim	Jacobs_Suchard	Julius_Baer_Group	Kudelski	LafargeHolcim	Lonza_Group	Merck_Serono	Nestle_I	Nestle_PS	Nobel_Biocare_Holding	Novartis_I	Novartis_N	OC_Oerlikon_Corporation	Pargesa_Holding	Roche_Holding	SAirGroup	Sandoz_PS	Sandoz_N	Schweizerische_Volksbank_StN	Schweizerische_Volksbank_ST	SGS	Sika	Societe_Internationale_Pirelli	Sulzer	Swiss_Bank_I	Swiss_Bank_PS	Swiss_Bank_N	Swiss_Life_Holding_I	Swiss_Life_Holding_N	Swiss_Re	Swissair	Swisscom	Syngenta	Synthes	The_Swatch_Group_I	The_Swatch_Group_N	Transocean	UBS_N	UBS_PS	UBS_I	Winterthur	Zurich_Insurance_Group_I	Zurich_Insurance_Group_N
1994-06-13	0.544069829	NA	NA	0.810297719	NA	NA	0.953323714	1.015263219	NA	NA	NA	1.303208309	0.549118313	NA	NA	NA	NA	0.838688339	NA	NA	NA	NA	NA	NA	NA	0.928095412	NA	NA	NA	NA	NA	0.929452965	NA	NA	0.825415843	NA	NA	NA	NA	NA	NA	1.32585842	NA	1.296658665	NA	NA	1.074166217	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.051719015	1.082776155	0.911598737	NA
1994-06-14	0.543143828	NA	NA	0.806648612	NA	NA	0.949644815	1.014638367	NA	NA	NA	1.134550211	0.559492409	NA	NA	NA	NA	0.834910443	NA	NA	NA	NA	NA	NA	NA	0.925323915	NA	NA	NA	NA	NA	0.926652112	NA	NA	0.81901732	NA	NA	NA	NA	NA	NA	1.322064438	NA	1.295685991	NA	NA	1.0713086	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.047074187	1.097393865	0.911393315	NA
1994-06-15	0.54108227	NA	NA	0.803624189	NA	NA	0.959424554	1.020550738	NA	NA	NA	1.170624765	0.558161588	NA	NA	NA	NA	0.83809235	NA	NA	NA	NA	NA	NA	NA	0.931746197	NA	NA	NA	NA	NA	0.934951077	NA	NA	0.817620763	NA	NA	NA	NA	NA	NA	1.321483292	NA	1.298877716	NA	NA	1.075836115	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.056186935	1.095599155	0.913276648	NA
1994-06-16	0.547853146	NA	NA	0.800669916	NA	NA	0.95664169	1.023783526	NA	NA	NA	1.245908962	0.564066248	NA	NA	NA	NA	0.848956686	NA	NA	NA	NA	NA	NA	NA	0.935625269	NA	NA	NA	NA	NA	0.935246108	NA	NA	0.824160006	NA	NA	NA	NA	NA	NA	1.336324677	NA	1.31667339	NA	NA	1.086024655	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.073770141	1.112800063	0.927701275	NA
1994-06-17	0.550266546	NA	NA	0.810141717	NA	NA	0.95784191	1.029071571	NA	NA	NA	1.223576096	0.569457065	NA	NA	NA	NA	0.848627419	NA	NA	NA	NA	NA	NA	NA	0.936672299	NA	NA	NA	NA	NA	0.937657183	NA	NA	0.82546132	NA	NA	NA	NA	NA	NA	1.336448502	NA	1.313550082	NA	NA	1.097250342	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.081506543	1.114793971	0.928210718	NA
1994-06-20	0.55795814	NA	NA	0.806538405	NA	NA	0.966829821	1.035806257	NA	NA	NA	1.276058299	0.600688221	NA	NA	NA	NA	0.824222003	NA	NA	NA	NA	NA	NA	NA	0.950509028	NA	NA	NA	NA	NA	0.951298586	NA	NA	0.829685622	NA	NA	NA	NA	NA	NA	1.346008737	NA	1.345223457	NA	NA	1.099595939	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.091405693	1.098799727	0.958953027	NA
1994-06-21	0.559387402	NA	NA	0.808232505	NA	NA	0.967489369	1.036054614	NA	NA	NA	1.257184598	0.602315444	NA	NA	NA	NA	0.825340661	NA	NA	NA	NA	NA	NA	NA	0.951279825	NA	NA	NA	NA	NA	0.952031857	NA	NA	0.830592101	NA	NA	NA	NA	NA	NA	1.346109748	NA	1.345547124	NA	NA	1.099243922	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.092467713	1.098870265	0.958692648	NA
1994-06-22	0.542795209	NA	NA	0.800870911	NA	NA	0.953024775	1.033500142	NA	NA	NA	1.328078352	0.579904434	NA	NA	NA	NA	0.804905982	NA	NA	NA	NA	NA	NA	NA	0.944125998	NA	NA	NA	NA	NA	0.941668607	NA	NA	0.825083765	NA	NA	NA	NA	NA	NA	1.354587798	NA	1.364123181	NA	NA	1.089756948	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.094476333	1.096946039	0.951075453	NA
1994-06-23	0.545740798	NA	NA	0.803321045	NA	NA	0.954000975	1.035248412	NA	NA	NA	1.345760609	0.583634991	NA	NA	NA	NA	0.804067173	NA	NA	NA	NA	NA	NA	NA	0.946002001	NA	NA	NA	NA	NA	0.944204835	NA	NA	0.829427462	NA	NA	NA	NA	NA	NA	1.352370614	NA	1.361817396	NA	NA	1.092365309	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.09177667	1.095955607	0.951158753	NA
1994-06-24	0.551446998	NA	NA	0.81201246	NA	NA	0.961001126	1.047924575	NA	NA	NA	1.370697094	0.58299445	NA	NA	NA	NA	0.813275421	NA	NA	NA	NA	NA	NA	NA	0.950735835	NA	NA	NA	NA	NA	0.950064398	NA	NA	0.83297396	NA	NA	NA	NA	NA	NA	1.358166638	NA	1.370308921	NA	NA	1.097565238	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.097248091	1.10272144	0.96211555	NA
1994-06-27	0.557107027	NA	NA	0.819866052	NA	NA	0.974784976	1.059400201	NA	NA	NA	1.368132742	0.591307123	NA	NA	NA	NA	0.825698944	NA	NA	NA	NA	NA	NA	NA	0.948574691	NA	NA	NA	NA	NA	0.956933677	NA	NA	0.838979583	NA	NA	NA	NA	NA	NA	1.362727175	NA	1.374671521	NA	NA	1.096085419	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.097401791	1.099673582	0.964486763	NA
1994-06-28	0.544038977	NA	NA	0.804555936	NA	NA	0.966007855	1.058239122	NA	NA	NA	1.414596034	0.599586145	NA	NA	NA	NA	0.819541367	NA	NA	NA	NA	NA	NA	NA	0.947812043	NA	NA	NA	NA	NA	0.955697407	NA	NA	0.822159602	NA	NA	NA	NA	NA	NA	1.365486328	NA	1.374991152	NA	NA	1.097134593	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.096667294	1.079197468	0.958086352	NA
1994-06-29	0.542075634	NA	NA	0.800182023	NA	NA	0.972711615	1.065886843	NA	NA	NA	1.454536632	0.589180492	NA	NA	NA	NA	0.810821234	NA	NA	NA	NA	NA	NA	NA	0.946652987	NA	NA	NA	NA	NA	0.952957072	NA	NA	0.81828957	NA	NA	NA	NA	NA	NA	1.365346879	NA	1.373472986	NA	NA	1.088628344	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.094289412	1.0751552	0.95319837	NA
1994-06-30	0.542195753	NA	NA	0.799527732	NA	NA	0.97223963	1.065748179	NA	NA	NA	1.443997854	0.588755509	NA	NA	NA	NA	0.811104238	NA	NA	NA	NA	NA	NA	NA	0.946715903	NA	NA	NA	NA	NA	0.952856205	NA	NA	0.817730439	NA	NA	NA	NA	NA	NA	1.36545082	NA	1.373884348	NA	NA	1.088839399	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.094844054	1.075431169	0.953053145	NA
1994-07-01	0.545393622	NA	NA	0.804318834	NA	NA	0.982409921	1.067284257	NA	NA	NA	1.400090456	0.590655538	NA	NA	NA	NA	0.806839897	NA	NA	NA	NA	NA	NA	NA	0.940973987	NA	NA	NA	NA	NA	0.950267382	NA	NA	0.813829718	NA	NA	NA	NA	NA	NA	1.359029766	NA	1.3664367	NA	NA	1.09892267	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.09166844	1.071815734	0.951124706	NA
1994-07-04	0.55162329	NA	NA	0.79727026	NA	NA	0.976084224	1.060682158	NA	NA	NA	1.47866232	0.602080303	NA	NA	NA	NA	0.794529488	NA	NA	NA	NA	NA	NA	NA	0.935521445	NA	NA	NA	NA	NA	0.944280453	NA	NA	0.807031749	NA	NA	NA	NA	NA	NA	1.361679678	NA	1.369224303	NA	NA	1.089406033	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.092607789	1.070555592	0.948078469	NA
1994-07-05	0.561536724	NA	NA	0.789036384	NA	NA	0.981884863	1.06184413	NA	NA	NA	1.472539703	0.614550259	NA	NA	NA	NA	0.799970627	NA	NA	NA	NA	NA	NA	NA	0.950037508	NA	NA	NA	NA	NA	0.948098885	NA	NA	0.81514266	NA	NA	NA	NA	NA	NA	1.357796106	NA	1.35747558	NA	NA	1.096360316	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.078785769	1.074701745	0.953869419	NA
1994-07-06	0.56408167	NA	NA	0.785063543	NA	NA	0.981342328	1.060610295	NA	NA	NA	1.448356966	0.616026122	NA	NA	NA	NA	0.796669414	NA	NA	NA	NA	NA	NA	NA	0.942395375	NA	NA	NA	NA	NA	0.94952826	NA	NA	0.811975224	NA	NA	NA	NA	NA	NA	1.363276958	NA	1.358985286	NA	NA	1.100125225	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.074518659	1.073033524	0.957214479	NA
1994-07-07	0.561734287	NA	NA	0.786910346	NA	NA	0.985048943	1.059606808	NA	NA	NA	1.443528528	0.620736047	NA	NA	NA	NA	0.802420126	NA	NA	NA	NA	NA	NA	NA	0.94329491	NA	NA	NA	NA	NA	0.954084597	NA	NA	0.816041354	NA	NA	NA	NA	NA	NA	1.364236453	NA	1.360573692	NA	NA	1.091251455	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.07966847	1.076975792	0.956624451	NA
